,URL,URL_LENGTH,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
79,B0_2024,29,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,Michigan,26/08/2015 0:00,26/08/2016 0:00,12,8,6,900,568,900,12,0.0,0
80,B0_2123,29,UTF-8,Apache,10210.0,US,CA,30/11/2004 0:00,7/03/2017 0:00,5,4,2,486,542,486,5,0.0,0
81,B0_2128,29,ISO-8859-1,Apache,13684.0,US,Maryland,5/03/2008 0:00,14/04/2016 0:00,15,8,7,1134,605,1134,15,0.0,0
82,B0_2166,29,us-ascii,None,324.0,CA,Ontario,8/05/2003 0:00,9/05/2016 0:00,3,3,1,366,306,366,3,0.0,0
83,B0_2242,29,iso-8859-1,nginx/1.12.0,770.0,US,South Carolina,2/11/2010 21:52,20/10/2015 23:34,5,3,3,486,436,486,5,0.0,0
84,B0_2266,29,UTF-8,Apache/2.4.25,6813.0,US,Texas,23/05/2006 0:00,13/07/2016 0:00,17,9,10,1249,1062,1249,17,0.0,0
85,B0_259,29,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,2/07/1998 0:00,5/07/2016 0:00,34,9,6,2861,15260,3229,38,4.0,0
86,B0_44,29,ISO-8859-1,None,34.0,US,California,2/12/1998 0:00,2/12/2016 0:00,10,2,9,612,918,772,12,2.0,0
87,B0_499,29,UTF-8,GSE,20404.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,33,6,5,3533,46688,3859,37,4.0,0
88,B0_642,29,UTF-8,Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,7159.0,US,Arizona,30/05/2003 0:00,10/07/2015 0:00,21,6,11,1515,1334,1675,23,2.0,0
89,B0_887,29,iso-8859-1,Apache,388.0,US,New York,17/03/2006 0:00,14/08/2013 0:00,0,0,0,0,0,0,0,0.0,0
90,B0_894,29,ISO-8859-1,Apache/2,199.0,NONE,None,1/03/1999 0:00,7/03/2013 0:00,0,0,0,0,0,0,0,0.0,0
91,B0_920,29,us-ascii,Microsoft-HTTPAPI/2.0,324.0,AU,QLD,1/07/2015 0:00,4/03/2016 0:00,0,0,0,0,0,0,0,0.0,0
92,M0_112,30,iso-8859-1,Apache,177.0,NONE,None,None,None,7,0,2,666,1094,826,9,2.0,1
93,B0_1388,30,iso-8859-1,Apache/2.4.6 (CentOS) PHP/5.6.8,199.0,US,MA,8/02/2013 0:00,15/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
94,B0_2282,30,UTF-8,Apache,14703.0,US,Texas,4/08/1998 0:00,4/09/2013 0:00,2,2,1,276,250,276,2,0.0,0
95,B0_330,30,UTF-8,nginx,8751.0,US,FL,30/04/2016 0:00,4/10/2016 0:00,15,2,6,1528,5586,1860,19,4.0,0
96,B0_348,30,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,NJ,30/12/1999 0:00,8/01/2016 0:00,90,6,14,8646,95659,8808,92,2.0,0
97,B0_711,30,utf-8,AmazonS3,350.0,US,Arizona,13/07/2001 0:00,26/04/2015 0:00,23,1,10,1902,2764,2194,27,4.0,0
98,M0_73,31,us-ascii,Microsoft-IIS/7.5,324.0,US,CA,9/04/2002 0:00,20/03/2017 0:00,7,0,2,707,1018,1031,11,4.0,1
99,B0_1028,31,utf-8,ATS,604.0,US,CA,18/01/1995 0:00,26/08/2015 0:00,0,0,0,0,0,0,0,0.0,0
100,B0_1114,31,iso-8859-1,Apache/2.2.27 (CentOS),287.0,NONE,None,25/10/2014 0:00,26/10/2016 0:00,0,0,0,0,0,0,0,0.0,0
101,B0_1241,31,utf-8,Apache,65815.0,US,MO,20/05/1996 0:00,24/10/2016 0:00,0,0,0,0,0,0,0,0.0,0
102,B0_2278,31,utf-8,CherryPy/3.6.0,4075.0,CA,ON,1/12/1996 5:00,30/11/2016 10:30,4,3,2,432,372,432,4,0.0,0
103,B0_263,31,iso-8859-1,Apache/2.2.15 (CentOS),287.0,IN,HR,11/11/2000 0:00,3/05/2012 0:00,5,0,1,593,955,929,9,4.0,0
104,B0_504,31,UTF-8,Apache/2.2.15 (Red Hat),5132.0,US,FL,4/09/2004 0:00,24/08/2016 0:00,27,0,3,2743,43878,3181,33,6.0,0
105,B0_597,31,us-ascii,Microsoft-IIS/7.5,324.0,US,Missouri,9/09/2005 13:44,10/09/2016 13:29,23,1,4,2262,16553,2736,29,6.0,0
106,B0_65,31,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,None,None,18,14,3,2201,7756,2543,22,4.0,0
107,B0_698,31,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,FL,7/08/1996 0:00,14/05/2015 0:00,103,0,3,7073,179439,7217,105,2.0,0
108,B0_850,31,utf-8,Apache,22004.0,US,CA,4/04/2006 0:00,3/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
109,B0_992,31,iso-8859-1,Apache/2,345.0,US,Texas,25/05/2000 0:00,24/05/2016 0:00,0,0,0,0,0,0,0,0.0,0
110,M0_136,32,UTF-8,nginx,643.0,NONE,None,None,None,22,1,5,2783,3824,3367,30,8.0,1
111,M0_140,32,UTF-8,nginx,637.0,NONE,None,None,None,14,1,4,1457,3229,1881,20,6.0,1
112,B0_1181,32,ISO-8859-1,None,34.0,US,Missouri,9/07/2008 0:00,14/07/2008 0:00,0,0,0,0,0,0,0,0.0,0
113,B0_128,32,utf-8,KHL,420762.0,NONE,None,10/05/2006 20:00,None,17,5,8,1314,1881,1452,19,2.0,0
114,B0_1341,32,ISO-8859-1,Apache,1399.0,US,CA,29/07/2006 0:00,7/08/2015 0:00,0,0,0,0,0,0,0,0.0,0
115,B0_2095,32,utf-8,Microsoft-IIS/7.5,328.0,GB,Greater London,6/09/2016 0:00,12/03/2017 0:00,5,3,2,474,426,474,5,0.0,0
116,B0_2229,32,us-ascii,Microsoft-HTTPAPI/2.0,324.0,NONE,None,6/08/1995 0:00,24/07/2012 0:00,11,10,6,798,1124,798,11,0.0,0
117,B0_2271,32,iso-8859-1,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_jk/1.2.40,199.0,US,Kansas,23/10/2008 0:00,3/03/2017 0:00,6,3,4,564,442,564,6,0.0,0
118,B0_254,32,iso-8859-1,Apache,334.0,OTHER,--,19/02/2009 0:00,22/12/2015 0:00,8,1,4,816,1541,958,10,2.0,0
119,B0_303,32,iso-8859-1,Apache/2.2.3 (CentOS),287.0,US,MO,30/08/1998 0:00,22/12/2016 0:00,71,0,3,10999,88707,11147,73,2.0,0
120,B0_40,32,utf-8,Apache,20212.0,US,CA,4/04/2006 0:00,3/03/2017 0:00,43,26,14,4214,9246,4650,49,6.0,0
121,B0_507,32,UTF-8,GSE,11827.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,38,2,5,4607,58676,4945,42,4.0,0
122,B0_582,32,ISO-8859-1,nginx/1.12.0,1108.0,US,California,22/03/2005 3:36,22/03/2017 3:37,13,0,2,2065,7280,2349,17,4.0,0
123,B0_937,32,us-ascii,None,324.0,US,Arizona,26/06/2009 0:00,29/03/2017 0:00,0,0,0,0,0,0,0,0.0,0
124,M0_122,33,UTF-8,nginx,646.0,NONE,None,None,None,13,1,5,1497,2116,1787,17,4.0,1
125,M0_125,33,UTF-8,nginx,637.0,NONE,None,None,None,23,1,5,2851,3814,3431,31,8.0,1
126,M0_138,33,UTF-8,nginx,640.0,NONE,None,None,None,18,1,5,2147,2848,2577,24,6.0,1
127,M0_142,33,UTF-8,nginx,643.0,NONE,None,None,None,4,0,4,264,388,264,4,0.0,1
128,B0_1288,33,utf-8,Apache/2.4,19890.0,CA,BC,20/04/2000 0:00,25/04/2017 0:00,0,0,0,0,0,0,0,0.0,0
129,B0_1390,33,utf-8,None,18302.0,US,CA,29/05/1996 0:00,26/04/2016 0:00,0,0,0,0,0,0,0,0.0,0
130,B0_1419,33,iso-8859-1,Apache,318.0,JP,Osaka,12/11/2016 0:00,16/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
131,B0_2155,33,UTF-8,GSE,60722.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,4,2,3,408,382,408,4,0.0,0
132,B0_312,33,UTF-8,Microsoft-IIS/7.5,39.0,US,AL,19/08/2012 0:00,24/06/2016 0:00,24,1,4,3375,18396,3703,28,4.0,0
133,B0_570,33,UTF-8,Apache/2.2.31 (Amazon),1371.0,OTHER,None,28/04/2003 0:00,29/04/2017 0:00,19,0,3,2042,4760,2622,27,8.0,0
134,M0_130,34,UTF-8,nginx,655.0,NONE,None,None,None,27,5,8,2721,3896,3313,35,8.0,1
135,M0_159,34,UTF-8,nginx,649.0,NONE,None,None,None,15,1,5,1632,2661,2068,21,6.0,1
136,M0_180,34,iso-8859-1,Apache,214.0,NONE,None,None,None,9,0,4,850,1382,990,11,2.0,1
137,B0_1036,34,UTF-8,nginx/1.12.0,18298.0,US,MAINE,14/01/2008 0:00,14/01/2017 0:00,0,0,0,0,0,0,0,0.0,0
138,B0_1054,34,us-ascii,Microsoft-HTTPAPI/2.0,324.0,GB,None,26/03/2000 0:00,26/10/2016 0:00,0,0,0,0,0,0,0,0.0,0
139,B0_1087,34,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,0,0,0,0,0,0,0,0.0,0
140,B0_110,34,ISO-8859-1,None,1819.0,US,CA,2/11/2002 0:00,2/02/2017 0:00,33,27,2,5235,14571,5835,41,8.0,0
141,B0_2098,34,utf-8,Apache/2.4.10 (Debian),6474.0,US,Virginia,6/05/2010 16:44,20/09/2013 15:03,6,3,4,552,564,552,6,0.0,0
142,B0_2142,34,ISO-8859-1,Apache,1486.0,GB,None,9/03/2007 0:00,3/03/2015 0:00,5,3,2,498,306,498,5,0.0,0
143,B0_2221,34,UTF-8,Apache/2.4.12 (Ubuntu),10892.0,NONE,None,31/05/1996 0:00,15/04/2016 0:00,3,3,1,366,244,366,3,0.0,0
144,B0_322,34,utf-8,Apache/2.2.31 (Amazon),7255.0,NONE,None,29/07/2004 0:00,3/01/2016 0:00,17,1,2,1661,10015,2167,23,6.0,0
145,B0_460,34,UTF-8,GSE,6608.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,42,0,3,4895,39544,5241,46,4.0,0
146,B0_586,34,ISO-8859-1,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,111.0,US,California,17/01/2005 0:00,18/01/2017 0:00,21,0,5,2292,16147,2450,23,2.0,0
147,B0_746,34,ISO-8859-1,nginx,996.0,US,CA,1/06/2005 0:00,9/09/2016 0:00,7,0,2,716,1979,1030,11,4.0,0
148,B0_760,34,ISO-8859-1,nginx,1501.0,US,New York,22/12/1999 0:00,24/05/2012 0:00,23,3,11,2042,7939,2520,29,6.0,0
149,B0_961,34,us-ascii,Microsoft-IIS/7.5,324.0,US,Arizona,17/11/2003 0:00,11/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
150,M0_107,35,ISO-8859-1,Apache,7314.0,NONE,None,21/09/2009 0:00,9/08/2016 0:00,39,0,3,3240,35301,3722,45,6.0,1
151,M0_108,35,ISO-8859-1,Apache,7314.0,NONE,None,21/09/2009 0:00,9/08/2016 0:00,39,0,2,3240,35301,3722,45,6.0,1
152,M0_123,35,UTF-8,nginx,652.0,NONE,None,None,None,15,1,5,1635,2640,2073,21,6.0,1
153,M0_124,35,UTF-8,nginx,652.0,NONE,None,None,None,21,1,5,2367,3801,2957,29,8.0,1
154,M0_127,35,UTF-8,nginx,646.0,NONE,None,None,None,12,1,5,1340,964,1622,16,4.0,1
155,M0_135,35,UTF-8,nginx,652.0,NONE,None,None,None,19,1,5,2223,2868,2661,25,6.0,1
156,M0_137,35,UTF-8,nginx,652.0,NONE,None,None,None,18,1,5,2157,2996,2595,24,6.0,1
157,M0_148,35,UTF-8,nginx,652.0,NONE,None,None,None,19,1,5,2223,2996,2661,25,6.0,1
158,M0_152,35,UTF-8,nginx,652.0,NONE,None,None,None,23,1,5,2864,3773,3454,31,8.0,1
159,B0_1148,35,UTF-8,mw2232.codfw.wmnet,4685.0,US,CA,13/01/2001 0:12,12/12/2015 10:16,0,0,0,0,0,0,0,0.0,0
160,B0_144,35,us-ascii,Microsoft-IIS/7.5,324.0,NONE,None,21/03/2014 0:00,22/03/2017 0:00,22,15,8,1527,1928,1699,24,2.0,0
161,B0_194,35,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,CA,22/10/1998 0:00,16/03/2017 0:00,49,10,6,2961,38255,3261,53,4.0,0
162,B0_2026,35,utf-8,nginx,39362.0,GB,GB,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,4,3,2,420,244,420,4,0.0,0
163,B0_2156,35,UTF-8,Sucuri/Cloudproxy,14462.0,CA,ON,17/07/2009 0:00,7/07/2016 0:00,8,6,6,696,306,696,8,0.0,0
164,B0_2319,35,iso-8859-1,Apache/2.4.23 (Unix),289.0,GB,None,24/05/2001 20:47,27/01/2017 0:20,5,4,3,474,364,474,5,0.0,0
165,B0_308,35,us-ascii,Microsoft-HTTPAPI/2.0,324.0,US,PA,27/06/2004 0:00,19/11/2012 0:00,23,8,5,3087,19078,3535,29,6.0,0
166,B0_337,35,UTF-8,GSE,38115.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,45,3,7,3507,42286,3857,49,4.0,0
167,B0_717,35,UTF-8,GSE,8813.0,US,CA,31/07/2000 0:00,29/06/2016 0:00,41,6,4,4769,69898,5119,45,4.0,0
168,B0_739,35,ISO-8859-1,Apache,1002.0,OTHER,Austria,1/06/2004 0:00,2/06/2016 0:00,32,5,8,2965,37146,3279,36,4.0,0
169,B0_807,35,utf-8,Apache,16875.0,US,NY,13/12/1995 0:00,10/11/2016 0:00,0,0,0,0,0,0,0,0.0,0
170,B0_9,35,iso-8859-1,Apache,330.0,NONE,None,10/11/2000 0:00,19/02/2016 0:00,16,9,8,1275,2306,1423,18,2.0,0
171,B0_971,35,ISO-8859-1,Apache,1002.0,OTHER,Austria,1/06/2004 0:00,2/06/2016 0:00,0,0,0,0,0,0,0,0.0,0
172,M0_121,36,UTF-8,nginx,655.0,NONE,None,None,None,208,18,9,20074,270752,21646,228,20.0,1
173,M0_129,36,UTF-8,nginx,655.0,NONE,None,None,None,7,1,5,466,822,760,11,4.0,1
